Month of data..

select * from solar_data where event like '%202206%' order by event desc

event	        solar_level	battery_level	battery_load	battery_state	        grid_level	load_level
20220613044513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613043014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613041513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613040013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220613034513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220613033014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220613031513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613030013	0.0 kW    	21%       	0.0 kW    	IDLE            	0.7 kW    	0.7 kW    
20220613024513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613023014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613021517	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613020015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613014514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613013014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220613011514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613010015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613004516	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613003014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613001515	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613000014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612234514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612233014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220612231514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612230015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612224514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612223015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220612221514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
